,time,open,high,low,close,tick_volume,spread,real_volume
0,11/06/2004 07:18,384,384.1,384,384,3,0,0
1,11/06/2004 07:23,384.1,384.1,384,384,2,0,0
2,11/06/2004 07:24,383.8,383.8,383.8,383.8,1,0,0
3,11/06/2004 07:25,383.8,384.3,383.8,384.3,3,0,0
4,11/06/2004 07:27,383.8,383.8,383.8,383.8,1,0,0
5,11/06/2004 07:28,383.8,383.8,383.8,383.8,1,0,0
6,11/06/2004 07:29,384.3,384.3,384.3,384.3,1,0,0
7,11/06/2004 07:31,383.8,383.8,383.8,383.8,1,0,0
8,11/06/2004 07:32,383.8,383.8,383.8,383.8,1,0,0
9,11/06/2004 07:35,383.8,383.8,383.8,383.8,1,0,0
10,11/06/2004 07:37,384.3,384.3,384.3,384.3,1,0,0
11,11/06/2004 07:38,383.8,383.8,383.6,383.6,2,0,0
12,11/06/2004 07:39,384.1,384.1,383.8,383.8,2,0,0
13,11/06/2004 07:41,384.1,384.1,384.1,384.1,1,0,0
14,11/06/2004 07:42,383.6,383.6,383.6,383.6,2,0,0
15,11/06/2004 07:43,383.6,383.6,383.6,383.6,1,0,0
16,11/06/2004 07:44,383.8,383.8,383.8,383.8,1,0,0
17,11/06/2004 07:45,383.3,383.3,383.3,383.3,1,0,0
18,11/06/2004 07:46,383.3,383.3,383.3,383.3,1,0,0
19,11/06/2004 07:47,383.5,383.5,383.5,383.5,1,0,0
20,11/06/2004 07:48,383.3,383.3,383.3,383.3,1,0,0
21,11/06/2004 07:49,383.3,383.3,383.3,383.3,2,0,0
22,11/06/2004 07:50,383.3,383.3,383.3,383.3,2,0,0
23,11/06/2004 07:51,383.5,383.5,383.3,383.3,2,0,0
24,11/06/2004 07:52,383.6,383.6,383.6,383.6,1,0,0
25,11/06/2004 07:53,383.8,383.8,383.8,383.8,1,0,0
26,11/06/2004 07:54,383.6,383.6,383.5,383.5,2,0,0
27,11/06/2004 07:56,383.6,383.6,383.5,383.5,2,0,0
28,11/06/2004 07:58,383.8,383.8,383.6,383.6,5,0,0
29,11/06/2004 07:59,383.8,383.8,383.8,383.8,1,0,0
30,11/06/2004 08:00,383.8,383.8,383.8,383.8,1,0,0
31,11/06/2004 08:03,383.8,384.1,383.8,384.1,2,0,0
32,11/06/2004 08:04,383.8,383.8,383.6,383.6,3,0,0
33,11/06/2004 08:11,384.1,384.1,384.1,384.1,1,0,0
34,11/06/2004 08:12,383.6,383.6,383.6,383.6,1,0,0
35,11/06/2004 08:15,383.6,383.8,383.6,383.8,3,0,0
36,11/06/2004 08:16,383.6,383.6,383.6,383.6,1,0,0
37,11/06/2004 08:17,383.6,384.3,383.6,384.3,2,0,0
38,11/06/2004 08:18,383.8,383.8,383.8,383.8,1,0,0
39,11/06/2004 08:19,383.6,383.8,383.6,383.8,2,0,0
40,11/06/2004 08:20,383.6,383.8,383.6,383.8,2,0,0
41,11/06/2004 08:22,384.1,384.1,384.1,384.1,1,0,0
42,11/06/2004 08:23,383.6,383.6,383.6,383.6,2,0,0
43,11/06/2004 08:24,383.5,384,383.5,384,3,0,0
44,11/06/2004 08:25,383.6,383.6,383.6,383.6,1,0,0
45,11/06/2004 08:26,383.5,383.6,383.5,383.6,2,0,0
46,11/06/2004 08:29,383.5,383.5,383.5,383.5,1,0,0
